online,lab
1256.3724489795918,1154.04076433121
1032.4356955380576,942.875
905.4029126213592,919.1399491094147
873.2897727272727,879.5683269476373
1023.5013054830288,976.411227154047
1035.3413333333333,915.0258397932816
1105.5139949109414,861.1465629053178
931.9949367088608,913.0195058517555
1148.8502538071066,933.8028720626631
967.6315789473684,891.8628495339548
1385.658031088083,1001.9313850063533
1181.6448087431695,973.4183673469388
915.9922480620155,1080.1823979591836
973.9156010230179,847.357908847185
971.8477157360406,1060.9130434782608
1010.1038961038961,888.4636363636364
1661.0185185185185,961.9065300896286
918.9715025906736,907.2220779220779
947.6789473684211,879.3518041237113
957.4226804123712,1114.9332460732985
925.0646766169154,1027.3044585987261
931.3821989528795,809.3463541666666
932.3782383419689,968.6869340232859
1229.6666666666667,1019.6180203045685
1017.8874680306906,874.7405966277562
1002.4383202099738,1344.7131979695432
866.331506849315,
923.4114583333334,
1041.056555269923,
1078.2634146341463,
887.1853785900784,
939.7329842931937,
1096.2875318066158,
1054.7708333333333,
721.9211956521739,
1022.7634961439588,
1160.6928934010152,
1448.0878552971576,
1900.4870466321242,
1317.9388888888889,
1049.9742268041236,
921.0227848101266,
889.8798076923077,
817.6108108108108,
1110.2860759493672,
971.1380208333334,
1144.1825192802057,
991.2377260981912,
801.5052083333334,
1336.8311688311687,
1128.9261213720317,
1293.1029023746703,
994.0,
1035.2480818414322,
1129.84375,
1280.061797752809,
1096.071611253197,
1202.1573604060914,
1384.2857142857142,
969.7440633245383,
1341.0763358778627,
1123.0225988700565,
964.2791878172588,
1316.2551546391753,
864.3967828418231,
917.5956873315364,
831.3804627249357,
1107.1236559139784,
1184.4476439790576,
959.3115183246073,
1021.703125,
817.7394736842106,
970.1122994652407,
1141.0208333333333,
1126.0,
1083.7953964194373,
2297.6573604060914,
949.6932989690722,
1096.1150895140665,
