plateaus,transitions
1303.7857142857142,1259.225806451613
1198.0731707317073,1256.090909090909
973.9512195121952,1001.0866666666667
977.4358974358975,1093.6622516556292
918.5,924.1868131868132
882.9,885.12
902.5526315789474,867.4927536231884
797.9230769230769,892.4671532846716
997.7560975609756,1031.7350993377484
916.7948717948718,1049.6447368421052
1035.9761904761904,1040.904761904762
905.7073170731708,1066.1724137931035
1060.6904761904761,1077.2272727272727
1154.121951219512,1132.7307692307693
961.5,932.9871794871794
838.3333333333334,948.3806451612903
1090.5,1124.5714285714287
1091.6666666666667,1203.923076923077
880.2,977.738255033557
990.3589743589744,974.9013157894736
1445.0238095238096,1353.7012987012988
1357.025641025641,1409.132450331126
1148.4736842105262,1158.2054794520548
1253.3636363636363,1192.7101449275362
920.390243902439,903.0454545454545
865.3170731707318,941.7615894039735
981.7317073170732,963.7948717948718
928.2619047619048,994.8092105263158
950.452380952381,999.0844155844156
870.3333333333334,978.0512820512821
1103.275,992.2368421052631
916.6341463414634,1028.6644736842106
1427.5,1697.4222222222222
1759.3809523809523,1647.9310344827586
887.2682926829268,942.5165562913908
855.9756097560976,921.1111111111111
933.95,940.46
925.6341463414634,964.6979865771812
979.9230769230769,953.358024691358
954.0,954.6461538461539
941.0833333333334,909.1944444444445
833.3181818181819,958.5180722891566
936.775,939.1806451612903
860.6410256410256,940.3986486486486
930.0731707317074,925.6168831168832
826.5714285714286,969.8255033557047
1198.878048780488,1236.4640522875818
1178.1666666666667,1245.155844155844
958.390243902439,1023.8116883116883
995.047619047619,1034.0324675324675
1016.05,987.1933333333334
948.275,1028.3245033112582
843.2380952380952,881.0492957746479
805.8947368421053,874.5594405594405
895.0975609756098,934.774834437086
829.390243902439,945.2649006622516
1104.0731707317073,1043.2156862745098
943.8780487804878,1048.0064935064936
1081.909090909091,1002.370786516854
1151.1,1148.7702702702702
844.5641025641025,898.9671052631579
879.8571428571429,888.38
879.3658536585366,960.2582781456954
877.575,952.1466666666666
1110.9756097560976,1110.775641025641
1000.1463414634146,1103.2516129032258
1041.2777777777778,1018.8378378378378
966.8235294117648,1107.7469879518073
706.075,736.4335664335664
691.525,720.3655172413793
1047.7619047619048,1027.5099337748345
886.1666666666666,1048.5454545454545
1256.0,1139.774193548387
1053.1463414634147,1184.0833333333333
1542.6190476190477,1490.4238410596026
1209.8333333333333,1445.7434210526317
2214.775,1842.4370860927152
1430.475,1997.225806451613
1312.2692307692307,1367.3880597014925
1325.4,1268.4626865671642
910.8809523809524,1085.4569536423842
1022.0,1060.564935064935
853.4761904761905,949.5870967741936
836.9285714285714,933.4679487179487
927.7727272727273,890.9
844.75,889.7325581395348
746.0571428571428,847.7905405405405
752.9268292682926,822.3356164383562
1133.2142857142858,1077.429487179487
985.8095238095239,1170.8709677419354
926.1951219512196,973.066225165563
910.0238095238095,998.5933333333334
1099.5714285714287,1183.6797385620914
1068.219512195122,1137.2875816993464
945.3333333333334,1007.6209150326797
930.475,1003.421052631579
801.2682926829268,797.8918918918919
797.5121951219512,806.1038961038961
1263.658536585366,1434.5827814569536
1049.4285714285713,1338.887417218543
1060.025,1158.9466666666667
1008.5121951219512,1150.4797297297298
1391.0975609756097,1309.061224489796
1098.974358974359,1301.046052631579
883.0588235294117,986.525641025641
969.0,1027.2643678160919
1004.0731707317074,1043.1168831168832
994.547619047619,1046.7792207792209
1135.5263157894738,1160.5324675324675
961.2352941176471,1134.8481012658228
1396.25,1260.8636363636363
1099.95,1319.671052631579
1063.904761904762,1134.1935483870968
1006.7073170731708,1090.2287581699347
1208.5365853658536,1248.683870967742
1103.8333333333333,1180.724358974359
1293.5365853658536,1375.4313725490197
1142.658536585366,1484.1666666666667
969.7105263157895,989.1655629139073
884.025,973.06
1370.6097560975609,1269.8181818181818
1399.2619047619048,1387.9935897435898
1035.8636363636363,1141.3492063492063
1215.7222222222222,1110.7837837837837
893.0,975.4967741935484
975.609756097561,969.3461538461538
1506.780487804878,1358.577922077922
1059.0714285714287,1292.8940397350993
831.2368421052631,879.9513888888889
839.6904761904761,864.7852348993289
900.4102564102565,924.7027027027027
825.1,940.6388888888889
808.7317073170732,829.562091503268
861.9047619047619,830.8888888888889
1056.642857142857,1187.1958041958042
1057.439024390244,1057.1712328767123
1091.6097560975609,1216.4437086092714
1120.4634146341464,1195.1744966442952
937.125,969.1275167785235
949.8571428571429,958.1324503311258
904.3809523809524,1030.569536423841
1028.9268292682927,1043.6533333333334
797.2564102564103,835.158940397351
811.9512195121952,807.0402684563759
878.8571428571429,1001.0735294117648
986.952380952381,963.0649350649351
1188.2619047619048,1150.7483443708609
953.5714285714286,1170.6845637583892
1106.0238095238096,1175.150684931507
1108.1538461538462,1088.6423841059602
1048.904761904762,1081.6298701298701
996.0714285714286,1119.6339869281046
2537.756097560976,2347.948717948718
1852.7380952380952,2304.090322580645
1022.2857142857143,939.3333333333334
896.2682926829268,954.4736842105264
1147.3658536585365,1059.25
1051.0731707317073,1132.0392156862745
