,Participant_ID,Starting_Plateau_Idx,Block,Cycle_Idx,Stages,Directions,Phase,Pentagon_selected,Star_selected,Response,Response_time,Correctness,spu_elements_percentage,Selection,Condition_Name
55,1,0,1,55,T5,star_to_pentagon,star_to_pentagon_trans,1,0,3,2594,1,0.666666666666667,1,Lab
56,1,0,1,56,T6,star_to_pentagon,star_to_pentagon_trans,0,1,3,1911,1,0.6,0,Lab
57,1,0,1,57,T7,star_to_pentagon,star_to_pentagon_trans,1,0,3,1033,1,0.533333333333333,1,Lab
58,1,0,1,58,T8,star_to_pentagon,star_to_pentagon_trans,1,0,3,1223,1,0.466666666666667,1,Lab
59,1,0,1,59,T9,star_to_pentagon,star_to_pentagon_trans,1,0,4,1216,1,0.4,1,Lab
60,1,0,1,60,T10,star_to_pentagon,star_to_pentagon_trans,0,1,4,1312,1,0.333333333333333,0,Lab
61,1,0,1,61,T11,star_to_pentagon,star_to_pentagon_trans,0,1,4,2997,1,0.266666666666667,0,Lab
62,1,0,1,62,T12,star_to_pentagon,star_to_pentagon_trans,0,1,1,2470,1,0.2,0,Lab
63,1,0,1,63,T13,star_to_pentagon,star_to_pentagon_trans,1,0,3,1865,1,0.133333333333333,1,Lab
64,1,0,1,64,P1,pentagon_to_star,pentagon_plateau,1,0,4,991,1,0.066666666666667,1,Lab
65,1,0,1,65,P2,pentagon_to_star,pentagon_plateau,0,1,1,1119,1,0.066666666666667,0,Lab
66,1,0,1,66,P3,pentagon_to_star,pentagon_plateau,1,0,3,881,1,0.066666666666667,1,Lab
67,1,0,1,67,T1,pentagon_to_star,pentagon_to_star_trans,1,0,4,1998,1,0.133333333333333,1,Lab
68,1,0,1,68,T2,pentagon_to_star,pentagon_to_star_trans,0,1,4,1151,1,0.2,0,Lab
69,1,0,1,69,T3,pentagon_to_star,pentagon_to_star_trans,0,1,4,902,1,0.266666666666667,0,Lab
70,1,0,1,70,T4,pentagon_to_star,pentagon_to_star_trans,0,1,4,1097,1,0.333333333333333,0,Lab
71,1,0,1,71,T5,pentagon_to_star,pentagon_to_star_trans,1,0,2,962,1,0.4,1,Lab
72,1,0,1,72,T6,pentagon_to_star,pentagon_to_star_trans,1,0,4,784,1,0.466666666666667,1,Lab
73,1,0,1,73,T7,pentagon_to_star,pentagon_to_star_trans,1,0,4,1154,1,0.533333333333333,1,Lab
74,1,0,1,74,T8,pentagon_to_star,pentagon_to_star_trans,0,1,4,877,1,0.6,0,Lab
75,1,0,1,75,T9,pentagon_to_star,pentagon_to_star_trans,0,1,2,888,1,0.666666666666667,0,Lab
76,1,0,1,76,T10,pentagon_to_star,pentagon_to_star_trans,1,0,2,973,1,0.733333333333333,1,Lab
77,1,0,1,77,T11,pentagon_to_star,pentagon_to_star_trans,0,1,2,1623,1,0.8,0,Lab
78,1,0,1,78,T12,pentagon_to_star,pentagon_to_star_trans,1,0,1,1301,1,0.866666666666667,1,Lab
79,1,0,1,79,T13,pentagon_to_star,pentagon_to_star_trans,0,1,3,1274,1,0.933333333333333,0,Lab
80,1,0,1,80,P1,star_to_pentagon,star_plateau,1,0,3,737,1,1,1,Lab
81,1,0,1,81,P2,star_to_pentagon,star_plateau,1,0,4,1052,1,1,1,Lab
82,1,0,1,82,P3,star_to_pentagon,star_plateau,1,0,3,1019,1,1,1,Lab
