,Participant_ID,Condition_Name,Starting_Plateau_Idx,Cycle_Idx,Decline_First_Selection
101,1,Bergmann Colored vs. Gray,1,15,1.0
102,1,Bergmann Colored vs. Gray,1,16,1.0
103,1,Bergmann Colored vs. Gray,1,17,1.0
104,1,Bergmann Colored vs. Gray,1,18,1.0
105,1,Bergmann Colored vs. Gray,1,19,1.0
106,1,Bergmann Colored vs. Gray,1,20,1.0
107,1,Bergmann Colored vs. Gray,1,21,0.0
108,1,Bergmann Colored vs. Gray,1,22,1.0
109,1,Bergmann Colored vs. Gray,1,24,1.0
110,1,Bergmann Colored vs. Gray,1,25,1.0
111,1,Bergmann Colored vs. Gray,1,26,1.0
112,1,Bergmann Colored vs. Gray,1,27,1.0
113,1,Bergmann Colored vs. Gray,1,28,0.0
114,1,Bergmann Colored vs. Gray,1,29,0.0
115,1,Bergmann Colored vs. Gray,1,30,1.0
116,1,Bergmann Colored vs. Gray,1,31,1.0
117,1,Bergmann Colored vs. Gray,1,0,1.0
118,1,Bergmann Colored vs. Gray,1,2,1.0
119,1,Bergmann Colored vs. Gray,1,3,1.0
120,1,Bergmann Colored vs. Gray,1,4,0.0
121,1,Bergmann Colored vs. Gray,1,5,1.0
122,1,Bergmann Colored vs. Gray,1,6,0.0
123,1,Bergmann Colored vs. Gray,1,7,1.0
124,1,Bergmann Colored vs. Gray,1,8,1.0
125,1,Bergmann Colored vs. Gray,1,10,0.0
126,1,Bergmann Colored vs. Gray,1,11,0.0
127,1,Bergmann Colored vs. Gray,1,12,0.0
128,1,Bergmann Colored vs. Gray,1,13,0.0
129,1,Bergmann Colored vs. Gray,1,14,0.0
130,1,Bergmann Colored vs. Gray,1,15,0.0
131,1,Bergmann Colored vs. Gray,1,16,1.0
132,1,Bergmann Colored vs. Gray,1,17,1.0
133,1,Bergmann Colored vs. Gray,1,18,1.0
134,1,Bergmann Colored vs. Gray,1,19,1.0
135,1,Bergmann Colored vs. Gray,1,20,0.0
136,1,Bergmann Colored vs. Gray,1,21,1.0
137,1,Bergmann Colored vs. Gray,1,22,1.0
138,1,Bergmann Colored vs. Gray,1,23,1.0
139,1,Bergmann Colored vs. Gray,1,24,0.0
140,1,Bergmann Colored vs. Gray,1,25,0.0
141,1,Bergmann Colored vs. Gray,1,26,0.0
142,1,Bergmann Colored vs. Gray,1,27,1.0
143,1,Bergmann Colored vs. Gray,1,28,1.0
144,1,Bergmann Colored vs. Gray,1,29,1.0
145,1,Bergmann Colored vs. Gray,1,30,1.0
146,1,Bergmann Colored vs. Gray,1,31,0.0
147,1,Bergmann Colored vs. Gray,1,1,0.0
148,1,Bergmann Colored vs. Gray,1,3,0.0
149,1,Bergmann Colored vs. Gray,1,4,1.0
150,1,Bergmann Colored vs. Gray,1,5,0.0
151,1,Bergmann Colored vs. Gray,1,6,0.0
152,1,Bergmann Colored vs. Gray,1,7,1.0
153,1,Bergmann Colored vs. Gray,1,8,0.0
154,1,Bergmann Colored vs. Gray,1,10,0.0
155,1,Bergmann Colored vs. Gray,1,11,0.0
156,1,Bergmann Colored vs. Gray,1,12,0.0
157,1,Bergmann Colored vs. Gray,1,13,0.0
158,1,Bergmann Colored vs. Gray,1,14,0.0
159,1,Bergmann Colored vs. Gray,1,15,0.0
160,1,Bergmann Colored vs. Gray,1,16,1.0
161,1,Bergmann Colored vs. Gray,1,18,0.0
162,1,Bergmann Colored vs. Gray,1,19,0.0
163,1,Bergmann Colored vs. Gray,1,20,1.0
164,1,Bergmann Colored vs. Gray,1,21,1.0
165,1,Bergmann Colored vs. Gray,1,22,1.0
166,1,Bergmann Colored vs. Gray,1,24,1.0
167,1,Bergmann Colored vs. Gray,1,25,1.0
168,1,Bergmann Colored vs. Gray,1,26,1.0
169,1,Bergmann Colored vs. Gray,1,27,1.0
170,1,Bergmann Colored vs. Gray,1,28,1.0
171,1,Bergmann Colored vs. Gray,1,29,0.0
172,1,Bergmann Colored vs. Gray,1,30,1.0
173,1,Bergmann Colored vs. Gray,1,31,0.0
174,1,Bergmann Colored vs. Gray,1,0,1.0
175,1,Bergmann Colored vs. Gray,1,1,0.0
176,1,Bergmann Colored vs. Gray,1,2,0.0
177,1,Bergmann Colored vs. Gray,1,3,1.0
178,1,Bergmann Colored vs. Gray,1,4,0.0
179,1,Bergmann Colored vs. Gray,1,5,0.0
180,1,Bergmann Colored vs. Gray,1,6,0.0
181,1,Bergmann Colored vs. Gray,1,7,0.0
182,1,Bergmann Colored vs. Gray,1,8,0.0
183,1,Bergmann Colored vs. Gray,1,9,0.0
184,1,Bergmann Colored vs. Gray,1,10,0.0
185,1,Bergmann Colored vs. Gray,1,12,0.0
186,1,Bergmann Colored vs. Gray,1,13,0.0
187,1,Bergmann Colored vs. Gray,1,14,0.0
188,1,Bergmann Colored vs. Gray,1,15,0.0
189,1,Bergmann Colored vs. Gray,1,16,1.0
190,1,Bergmann Colored vs. Gray,1,17,1.0
191,1,Bergmann Colored vs. Gray,1,18,0.0
192,1,Bergmann Colored vs. Gray,1,19,1.0
193,1,Bergmann Colored vs. Gray,1,20,1.0
194,1,Bergmann Colored vs. Gray,1,21,1.0
195,1,Bergmann Colored vs. Gray,1,22,1.0
196,1,Bergmann Colored vs. Gray,1,23,1.0
197,1,Bergmann Colored vs. Gray,1,24,0.0
198,1,Bergmann Colored vs. Gray,1,25,0.0
199,1,Bergmann Colored vs. Gray,1,26,0.0
200,1,Bergmann Colored vs. Gray,1,27,0.0
201,1,Bergmann Colored vs. Gray,1,28,0.0
202,1,Bergmann Colored vs. Gray,1,29,0.0
203,1,Bergmann Colored vs. Gray,1,30,0.0
204,1,Bergmann Colored vs. Gray,1,31,1.0
205,1,Bergmann Colored vs. Gray,1,0,1.0
206,1,Bergmann Colored vs. Gray,1,1,0.0
207,1,Bergmann Colored vs. Gray,1,3,0.0
208,1,Bergmann Colored vs. Gray,1,4,0.0
209,1,Bergmann Colored vs. Gray,1,5,1.0
210,1,Bergmann Colored vs. Gray,1,6,0.0
211,1,Bergmann Colored vs. Gray,1,7,1.0
212,1,Bergmann Colored vs. Gray,1,8,1.0
213,1,Bergmann Colored vs. Gray,1,9,1.0
214,1,Bergmann Colored vs. Gray,1,10,1.0
215,1,Bergmann Colored vs. Gray,1,11,1.0
216,1,Bergmann Colored vs. Gray,1,13,1.0
217,1,Bergmann Colored vs. Gray,1,14,0.0
218,1,Bergmann Colored vs. Gray,1,15,1.0
219,1,Bergmann Colored vs. Gray,1,16,1.0
220,1,Bergmann Colored vs. Gray,1,18,1.0
221,1,Bergmann Colored vs. Gray,1,19,1.0
222,1,Bergmann Colored vs. Gray,1,20,1.0
