,Participant_ID,Starting_Plateau_Idx,Block,Cycle_Idx,Stages,Directions,Phase,Pentagon_selected,Star_selected,Response,Response_time,Correctness,Condition_Name,Selection
64,56,0,1,64,P1,pentagon_to_star,pentagon_plateau,0,0,1,1100,0,Online,0
65,56,0,1,65,P2,pentagon_to_star,pentagon_plateau,0,0,3,1066,0,Online,0
66,56,0,1,66,P3,pentagon_to_star,pentagon_plateau,0,0,1,922,0,Online,0
67,56,0,1,67,T1,pentagon_to_star,pentagon_to_star_trans,0,0,2,806,0,Online,0
68,56,0,1,68,T2,pentagon_to_star,pentagon_to_star_trans,1,0,3,1241,1,Online,1
69,56,0,1,69,T3,pentagon_to_star,pentagon_to_star_trans,1,0,4,705,1,Online,1
70,56,0,1,70,T4,pentagon_to_star,pentagon_to_star_trans,0,0,4,831,0,Online,0
71,56,0,1,71,T5,pentagon_to_star,pentagon_to_star_trans,0,0,2,721,0,Online,0
72,56,0,1,72,T6,pentagon_to_star,pentagon_to_star_trans,0,0,3,814,0,Online,0
73,56,0,1,73,T7,pentagon_to_star,pentagon_to_star_trans,0,0,4,688,0,Online,0
74,56,0,1,74,T8,pentagon_to_star,pentagon_to_star_trans,0,0,1,582,0,Online,0
75,56,0,1,75,T9,pentagon_to_star,pentagon_to_star_trans,1,0,4,778,1,Online,1
76,56,0,1,76,T10,pentagon_to_star,pentagon_to_star_trans,1,0,4,589,1,Online,1
77,56,0,1,77,T11,pentagon_to_star,pentagon_to_star_trans,0,1,4,663,1,Online,0
78,56,0,1,78,T12,pentagon_to_star,pentagon_to_star_trans,0,1,1,1638,1,Online,0
79,56,0,1,79,T13,pentagon_to_star,pentagon_to_star_trans,0,0,4,783,0,Online,0
80,56,0,1,80,P1,star_to_pentagon,star_plateau,0,1,3,713,1,Online,0
81,56,0,1,81,P2,star_to_pentagon,star_plateau,0,0,2,720,0,Online,0
82,56,0,1,82,P3,star_to_pentagon,star_plateau,0,1,4,1052,1,Online,0
83,56,0,1,83,T1,star_to_pentagon,star_to_pentagon_trans,0,1,1,886,1,Online,0
84,56,0,1,84,T2,star_to_pentagon,star_to_pentagon_trans,0,1,1,938,1,Online,0
85,56,0,1,85,T3,star_to_pentagon,star_to_pentagon_trans,0,1,1,679,1,Online,0
86,56,0,1,86,T4,star_to_pentagon,star_to_pentagon_trans,0,1,4,1208,1,Online,0
87,56,0,1,87,T5,star_to_pentagon,star_to_pentagon_trans,0,0,4,1432,0,Online,0
88,56,0,1,88,T6,star_to_pentagon,star_to_pentagon_trans,0,0,3,657,0,Online,0
89,56,0,1,89,T7,star_to_pentagon,star_to_pentagon_trans,0,1,1,753,1,Online,0
90,56,0,1,90,T8,star_to_pentagon,star_to_pentagon_trans,0,1,1,845,1,Online,0
91,56,0,1,91,T9,star_to_pentagon,star_to_pentagon_trans,1,0,3,655,1,Online,1
92,56,0,1,92,T10,star_to_pentagon,star_to_pentagon_trans,0,0,3,991,0,Online,0
93,56,0,1,93,T11,star_to_pentagon,star_to_pentagon_trans,0,1,1,553,1,Online,0
94,56,0,1,94,T12,star_to_pentagon,star_to_pentagon_trans,0,0,4,606,0,Online,0
95,56,0,1,95,T13,star_to_pentagon,star_to_pentagon_trans,0,0,1,862,0,Online,0
96,56,0,1,96,P1,pentagon_to_star,pentagon_plateau,0,0,2,959,0,Online,0
97,56,0,1,97,P2,pentagon_to_star,pentagon_plateau,0,0,4,834,0,Online,0
98,56,0,1,98,P3,pentagon_to_star,pentagon_plateau,0,0,3,707,0,Online,0
99,56,1,2,0,P1,star_to_pentagon,star_plateau,0,0,2,1121,0,Online,0
100,56,1,2,1,P2,star_to_pentagon,star_plateau,0,0,4,887,0,Online,0
101,56,1,2,2,P3,star_to_pentagon,star_plateau,1,0,3,757,1,Online,1
102,56,1,2,3,T1,star_to_pentagon,star_to_pentagon_trans,0,0,2,833,0,Online,0
103,56,1,2,4,T2,star_to_pentagon,star_to_pentagon_trans,0,1,1,1122,1,Online,0
104,56,1,2,5,T3,star_to_pentagon,star_to_pentagon_trans,0,0,3,1072,0,Online,0
105,56,1,2,6,T4,star_to_pentagon,star_to_pentagon_trans,1,0,4,1398,1,Online,1
106,56,1,2,7,T5,star_to_pentagon,star_to_pentagon_trans,0,1,4,1224,1,Online,0
107,56,1,2,8,T6,star_to_pentagon,star_to_pentagon_trans,0,1,4,1443,1,Online,0
108,56,1,2,9,T7,star_to_pentagon,star_to_pentagon_trans,0,0,4,931,0,Online,0
109,56,1,2,10,T8,star_to_pentagon,star_to_pentagon_trans,0,1,2,616,1,Online,0
110,56,1,2,11,T9,star_to_pentagon,star_to_pentagon_trans,0,1,3,961,1,Online,0
111,56,1,2,12,T10,star_to_pentagon,star_to_pentagon_trans,0,0,4,949,0,Online,0
112,56,1,2,13,T11,star_to_pentagon,star_to_pentagon_trans,1,0,1,986,1,Online,1
113,56,1,2,14,T12,star_to_pentagon,star_to_pentagon_trans,0,0,4,836,0,Online,0
114,56,1,2,15,T13,star_to_pentagon,star_to_pentagon_trans,1,0,1,932,1,Online,1
115,56,1,2,16,P1,pentagon_to_star,pentagon_plateau,1,0,3,1554,1,Online,1
116,56,1,2,17,P2,pentagon_to_star,pentagon_plateau,0,0,2,829,0,Online,0
117,56,1,2,18,P3,pentagon_to_star,pentagon_plateau,0,0,4,951,0,Online,0
118,56,1,2,19,T1,pentagon_to_star,pentagon_to_star_trans,0,1,3,875,1,Online,0
119,56,1,2,20,T2,pentagon_to_star,pentagon_to_star_trans,0,0,1,786,0,Online,0
120,56,1,2,21,T3,pentagon_to_star,pentagon_to_star_trans,0,0,4,788,0,Online,0
121,56,1,2,22,T4,pentagon_to_star,pentagon_to_star_trans,0,0,1,735,0,Online,0
122,56,1,2,23,T5,pentagon_to_star,pentagon_to_star_trans,0,0,3,1092,0,Online,0
123,56,1,2,24,T6,pentagon_to_star,pentagon_to_star_trans,0,0,2,906,0,Online,0
124,56,1,2,25,T7,pentagon_to_star,pentagon_to_star_trans,0,1,1,1000,1,Online,0
125,56,1,2,26,T8,pentagon_to_star,pentagon_to_star_trans,1,0,1,875,1,Online,1
126,56,1,2,27,T9,pentagon_to_star,pentagon_to_star_trans,0,0,2,914,0,Online,0
127,56,1,2,28,T10,pentagon_to_star,pentagon_to_star_trans,0,0,1,720,0,Online,0
128,56,1,2,29,T11,pentagon_to_star,pentagon_to_star_trans,0,0,2,877,0,Online,0
129,56,1,2,30,T12,pentagon_to_star,pentagon_to_star_trans,0,1,1,956,1,Online,0
130,56,1,2,31,T13,pentagon_to_star,pentagon_to_star_trans,0,0,1,906,0,Online,0
131,56,1,2,32,P1,star_to_pentagon,star_plateau,0,1,4,1046,1,Online,0
132,56,1,2,33,P2,star_to_pentagon,star_plateau,0,1,2,904,1,Online,0
133,56,1,2,34,P3,star_to_pentagon,star_plateau,0,1,2,902,1,Online,0
134,56,1,2,35,T1,star_to_pentagon,star_to_pentagon_trans,1,0,3,1138,1,Online,1
135,56,1,2,36,T2,star_to_pentagon,star_to_pentagon_trans,0,1,3,886,1,Online,0
136,56,1,2,37,T3,star_to_pentagon,star_to_pentagon_trans,1,0,2,693,1,Online,1
137,56,1,2,38,T4,star_to_pentagon,star_to_pentagon_trans,1,0,2,1140,1,Online,1
138,56,1,2,39,T5,star_to_pentagon,star_to_pentagon_trans,0,1,2,912,1,Online,0
139,56,1,2,40,T6,star_to_pentagon,star_to_pentagon_trans,1,0,1,1247,1,Online,1
140,56,1,2,41,T7,star_to_pentagon,star_to_pentagon_trans,0,0,4,952,0,Online,0
141,56,1,2,42,T8,star_to_pentagon,star_to_pentagon_trans,1,0,2,659,1,Online,1
142,56,1,2,43,T9,star_to_pentagon,star_to_pentagon_trans,0,1,3,852,1,Online,0
143,56,1,2,44,T10,star_to_pentagon,star_to_pentagon_trans,1,0,3,1011,1,Online,1
144,56,1,2,45,T11,star_to_pentagon,star_to_pentagon_trans,0,0,3,678,0,Online,0
145,56,1,2,46,T12,star_to_pentagon,star_to_pentagon_trans,0,0,4,805,0,Online,0
146,56,1,2,47,T13,star_to_pentagon,star_to_pentagon_trans,1,0,3,847,1,Online,1
147,56,1,2,48,P1,pentagon_to_star,pentagon_plateau,0,0,4,736,0,Online,0
148,56,1,2,49,P2,pentagon_to_star,pentagon_plateau,0,0,3,1413,0,Online,0
149,56,1,2,50,P3,pentagon_to_star,pentagon_plateau,0,1,1,1453,1,Online,0
150,56,1,2,51,T1,pentagon_to_star,pentagon_to_star_trans,0,1,4,1390,1,Online,0
151,56,1,2,52,T2,pentagon_to_star,pentagon_to_star_trans,0,1,4,784,1,Online,0
