,optimal_selected_optimal_first_fixation,optimal_selected_nonoptimal_first_fixation,nonoptimal_selected_nonoptimal_first_fixation,nonoptimal_selected_optimal_first_fixation,optimal_selected_optimal_last_fixation,optimal_selected_nonoptimal_last_fixation,nonoptimal_selected_nonoptimal_last_fixation,nonoptimal_selected_optimal_last_fixation,optimal_selected_optimal_total_fixation,optimal_selected_nonoptimal_total_fixation,nonoptimal_selected_nonoptimal_total_fixation,nonoptimal_selected_optimal_total_fixation
0,0.4888888888888889,0.5111111111111111,0.5208333333333334,0.4791666666666667,0.6666666666666666,0.3333333333333333,0.75,0.25,2.066666666666667,1.1333333333333333,2.6875,1.0625
1,0.45652173913043476,0.5434782608695652,0.5957446808510638,0.40425531914893614,0.6304347826086957,0.3695652173913043,0.723404255319149,0.2765957446808511,2.239130434782609,1.3695652173913044,2.702127659574468,1.127659574468085
2,0.5901639344262295,0.4098360655737705,0.625,0.34375,0.5901639344262295,0.4098360655737705,0.71875,0.28125,2.4754098360655736,1.0655737704918034,2.40625,1.25
3,0.5957446808510638,0.40425531914893614,0.5869565217391305,0.41304347826086957,0.5531914893617021,0.44680851063829785,0.5217391304347826,0.4782608695652174,2.0851063829787235,1.0212765957446808,2.217391304347826,1.2173913043478262
4,0.46808510638297873,0.5319148936170213,0.7391304347826086,0.2608695652173913,0.5957446808510638,0.40425531914893614,0.8260869565217391,0.17391304347826086,2.0,1.3829787234042554,2.347826086956522,0.8478260869565217
5,0.6458333333333334,0.3541666666666667,0.6444444444444445,0.3333333333333333,0.6458333333333334,0.3541666666666667,0.7111111111111111,0.28888888888888886,1.9583333333333333,0.875,2.6222222222222222,1.0
6,0.5106382978723404,0.48936170212765956,0.5652173913043478,0.43478260869565216,0.40425531914893614,0.5957446808510638,0.4782608695652174,0.5217391304347826,2.106382978723404,1.8085106382978724,2.282608695652174,1.6304347826086956
7,0.41509433962264153,0.5660377358490566,0.5,0.5,0.6792452830188679,0.32075471698113206,0.625,0.375,2.3773584905660377,1.2452830188679245,2.9,1.4
8,0.7142857142857143,0.2857142857142857,0.7272727272727273,0.25,0.673469387755102,0.32653061224489793,0.6590909090909091,0.3409090909090909,2.326530612244898,0.8571428571428571,2.090909090909091,0.7954545454545454
9,0.6037735849056604,0.39622641509433965,0.55,0.45,0.4339622641509434,0.5660377358490566,0.45,0.55,2.358490566037736,1.6037735849056605,2.55,1.5
